1.000000000000000000e+00,7.442317008972167969e+00
2.000000000000000000e+01,6.331637382507324219e+00
4.130316677845230089e+01,6.515633583068847656e+00
6.300141043091404924e+01,7.583048343658447266e+00
8.521450514051969094e+01,8.033143997192382812e+00
1.080985366436462982e+02,7.667591094970703125e+00
1.318569106865307390e+02,6.969060420989990234e+00
1.567546988802151873e+02,6.146826744079589844e+00
1.831373337421206884e+02,5.325891017913818359e+00
2.114549714531474081e+02,4.975924491882324219e+00
2.422942405933594614e+02,5.480916976928710938e+00
2.764196160395870265e+02,6.150286674499511719e+00
3.148273360542766000e+02,6.583601951599121094e+00
3.588156652444715178e+02,6.365400791168212891e+00
4.100764589157111004e+02,5.663003921508789062e+00
4.708144866961224011e+02,4.742434501647949219e+00
5.439029311192211935e+02,4.024435520172119141e+00
6.330860282111148081e+02,3.292660236358642578e+00
7.432431419717105427e+02,2.517537593841552734e+00
8.807328974656635410e+02,1.736857056617736816e+00
1.053841643633866624e+03,1.072990894317626953e+00
1.273367875130754783e+03,6.537925004959106445e-01
1.553383831447281864e+03,4.737349450588226318e-01
1.912227987586484687e+03,4.408693313598632812e-01
2.373798434939797062e+03,4.471409320831298828e-01
2.969238372276954578e+03,4.859988689422607422e-01
3.739132581609410408e+03,4.902152121067047119e-01
4.736369802565221107e+03,5.020490884780883789e-01
6.029872883581882888e+03,5.047556161880493164e-01
7.709459791019444310e+03,5.191063284873962402e-01
9.892178314746464821e+03,5.186033844947814941e-01
1.000000000000000000e+04,5.186033844947814941e-01
