1.000000000000000000e+04,1.004522619392148286e+01,4.900195407405114612e-01
6.812920690579615439e+03,1.056824041662967950e+01,4.768514864421242727e+00
4.641588833612777307e+03,9.869021959319574933e+00,1.042261017343107110e-01
3.162277660168379498e+03,9.587614764772267151e+00,2.376034618709339519e+00
2.154434690031884656e+03,9.130298826616758845e+00,2.923125871391096364e+00
1.467799267622070602e+03,8.831203343880789092e+00,1.556170594643838223e+00
1.000000000000000000e+03,9.318084788021844034e+00,3.581633019229177872e+00
6.812920690579614984e+02,1.045480241277002875e+01,2.458887296158638325e+00
4.641588833612781855e+02,1.254122112937124811e+01,4.779037380630891119e-01
3.162277660168379612e+02,1.669584744647034213e+01,7.100071628764818676e+00
2.154434690031884543e+02,1.650414487512257367e+01,1.330257018408160130e+00
1.467799267622070545e+02,1.781649194771781808e+01,2.561140411436577224e+00
1.000000000000000000e+02,1.846010013786085224e+01,3.596499805588755927e-01
6.812920690579615268e+01,1.897005069202971583e+01,7.649277106804544424e+00
4.641588833612782139e+01,1.894719162140368240e+01,8.462450392458737980e+00
3.162277660168379256e+01,1.650067507071829453e+01,1.452542282455753231e+00
2.154434690031884614e+01,1.529345005951944003e+01,3.699033695361821916e+00
1.467799267622070580e+01,1.334817282116149428e+01,1.712496808167943696e+00
1.000000000000000000e+01,1.211112568328486105e+01,4.192842789003519699e-01
6.812920690579614913e+00,1.174896036139986499e+01,1.500559378834402713e+00
4.641588833612781961e+00,1.210024710779943646e+01,3.767154129129446360e+00
3.162277660168379523e+00,1.312939668947932859e+01,5.158034917791369800e+00
2.154434690031884259e+00,1.567891946125467229e+01,7.402043169422718449e-01
1.467799267622070580e+00,2.000181049199126093e+01,3.547083615536883450e+00
1.000000000000000000e+00,2.453600539178556872e+01,5.438514329320351059e+00
