1.000000000000000000e+04,1.332575030632048119e+01,1.473549999999999915e+00
6.812920690579615439e+03,1.312560653034486258e+01,1.694180000000000064e+01
4.641588833612777307e+03,1.265053838018739896e+01,3.126689999999999747e-01
3.162277660168379498e+03,1.195572199065921559e+01,7.570509999999999629e+00
2.154434690031884656e+03,1.118173574343281729e+01,9.578239999999999199e+00
1.467799267622070602e+03,1.052613356188694382e+01,4.751809999999999867e+00
1.000000000000000000e+03,1.019976959229832048e+01,1.172569999999999979e+01
6.812920690579614984e+02,1.037664030073121602e+01,7.468250000000000277e+00
4.641588833612781855e+02,1.115829378727841181e+01,1.425119999999999942e+00
3.162277660168379612e+02,1.254757874145336061e+01,2.612480000000000047e+01
2.154434690031884543e+02,1.440934382455334628e+01,3.971649999999999903e+00
1.467799267622070545e+02,1.642247643937262325e+01,7.744580000000000020e+00
1.000000000000000000e+02,1.808779255388563811e+01,1.080109999999999904e+00
6.812920690579615268e+01,1.888536655115472129e+01,2.633070000000000022e+01
4.641588833612782139e+01,1.855410959413413963e+01,3.049640000000000128e+01
3.162277660168379256e+01,1.725474754358497620e+01,4.422220000000000262e+00
2.154434690031884614e+01,1.543729723827251199e+01,1.195759999999999934e+01
1.467799267622070580e+01,1.357093191615253325e+01,5.268589999999999662e+00
1.000000000000000000e+01,1.198784254431079610e+01,1.260359999999999925e+00
6.812920690579614913e+00,1.088311158195599937e+01,4.546730000000000160e+00
4.641588833612781961e+00,1.037638662785433397e+01,1.193040000000000056e+01
3.162277660168379523e+00,1.056385268269594846e+01,1.660889999999999844e+01
2.154434690031884259e+00,1.154584649308828403e+01,2.199370000000000047e+00
1.467799267622070580e+00,1.343678805363407669e+01,1.145909999999999940e+01
1.000000000000000000e+00,1.636392518105014915e+01,1.805689999999999884e+01
