1.000000000000000000e+00,1.197949218750000000e+01
2.000000000000000000e+01,1.357933235168457031e+01
4.130316677845230089e+01,2.475964736938476562e+01
6.300141043091404924e+01,3.387688064575195312e+01
8.521450514051969094e+01,4.202288055419921875e+01
1.080985366436462982e+02,5.374681854248046875e+01
1.318569106865307390e+02,5.084575653076171875e+01
1.567546988802151873e+02,4.426815795898437500e+01
1.831373337421206884e+02,3.662494277954101562e+01
2.114549714531474081e+02,2.400971221923828125e+01
2.422942405933594614e+02,1.515622711181640625e+01
2.764196160395870265e+02,1.011232185363769531e+01
3.148273360542766000e+02,7.745018482208251953e+00
3.588156652444715178e+02,6.753690242767333984e+00
4.100764589157111004e+02,7.781972408294677734e+00
4.708144866961224011e+02,9.932213783264160156e+00
5.439029311192211935e+02,1.620350646972656250e+01
6.330860282111148081e+02,3.044465827941894531e+01
7.432431419717105427e+02,5.618556213378906250e+01
8.807328974656635410e+02,1.022261505126953125e+02
1.053841643633866624e+03,1.680885009765625000e+02
1.273367875130754783e+03,2.367639007568359375e+02
1.553383831447281864e+03,2.895278930664062500e+02
1.912227987586484687e+03,3.131385803222656250e+02
2.373798434939797062e+03,3.172953186035156250e+02
2.969238372276954578e+03,3.062073059082031250e+02
3.739132581609410408e+03,2.846576232910156250e+02
4.736369802565221107e+03,2.757908630371093750e+02
6.029872883581882888e+03,2.595089721679687500e+02
7.709459791019444310e+03,2.499513702392578125e+02
9.892178314746464821e+03,2.476548004150390625e+02
1.000000000000000000e+04,2.476548004150390625e+02
